                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81469,                  2.856,                 1.3413,                0.00384,                      1,                0.54801,                0.41465,                 0.2982,                 3.2994,                0.97162,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.68024,                 2.7673,                 1.2589,                0.00368,                      1,                0.66889,                 0.5762,                  0.358,                 3.3158,                 1.0053,               8.17e-05,               8.17e-05,               8.17e-05
                      3,                 0.6485,                 2.5284,                 1.1752,                 0.0034,                0.95455,                0.66166,                0.52401,                0.44459,                  3.326,                 1.0577,             0.00012808,             0.00012808,             0.00012808
                      4,                0.65432,                  2.277,                 1.2042,                0.00346,                0.97727,                0.65167,                0.55604,                0.36788,                  3.197,                 1.0207,             0.00017248,             0.00017248,             0.00017248
                      5,                0.53547,                 1.9574,                 1.1298,                0.00351,                      1,                0.71051,                 0.6237,                0.42435,                 3.0722,                 1.0579,              0.0002149,              0.0002149,              0.0002149
                      6,                0.67611,                 1.8044,                 1.2009,                 0.0035,                      1,                0.73595,                0.65176,                0.43391,                 2.9884,                 1.0672,             0.00025533,             0.00025533,             0.00025533
                      7,                0.66691,                 1.6957,                 1.2411,                      1,                0.12392,                 0.8657,                0.77226,                0.41057,                 2.8336,                 1.0369,             0.00029379,             0.00029379,             0.00029379
                      8,                 0.5936,                 1.5351,                  1.072,                      1,                0.17095,                0.89829,                0.80111,                0.44301,                 2.7266,                 1.0653,             0.00033027,             0.00033027,             0.00033027
                      9,                0.59258,                 1.5994,                 1.1993,                0.86227,                 0.6233,                 0.8892,                0.73925,                0.60153,                 2.5468,                 1.1645,             0.00036477,             0.00036477,             0.00036477
                     10,                0.54083,                 1.3143,                 1.0598,                0.88897,                 0.5864,                0.90557,                0.75941,                0.59157,                  2.582,                 1.1491,             0.00039728,             0.00039728,             0.00039728
                     11,                0.51466,                 1.3107,                  1.096,                0.85345,                0.52522,                0.80562,                0.65943,                0.61238,                   2.72,                  1.158,             0.00042782,             0.00042782,             0.00042782
                     12,                0.61929,                 1.2379,                 1.1597,                0.81034,                0.56787,                0.78567,                0.62914,                0.65823,                 2.6896,                 1.2404,             0.00045637,             0.00045637,             0.00045637
                     13,                0.67553,                 1.3247,                 1.1909,                0.81247,                0.73206,                0.82728,                0.61609,                0.78487,                 2.5842,                 1.4871,             0.00048295,             0.00048295,             0.00048295
