                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55308,                 1.0601,                 1.0834,                0.99614,                      1,                  0.995,                0.97019,                0.25957,                 1.2593,                0.84304,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 0.4757,                0.94748,                 1.0504,                0.99751,                      1,                  0.995,                0.97117,                0.27205,                 1.0553,                0.84905,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      3,                0.43939,                0.79159,                 1.0086,                0.98391,                0.99766,                  0.995,                0.97531,                0.29321,                 0.9387,                0.87277,             0.00012016,             0.00012016,             0.00012016
                      4,                0.45097,                0.83715,                 1.0369,                 0.9849,                0.99704,                  0.995,                0.96578,                 0.3055,                 1.0606,                0.89572,             0.00015614,             0.00015614,             0.00015614
                      5,                 0.3825,                0.79943,                 1.0046,                 0.9951,                      1,                  0.995,                0.93039,                0.30447,                  1.345,                0.88229,             0.00018717,             0.00018717,             0.00018717
                      6,                0.45294,                0.83002,                0.97396,                0.99533,                      1,                  0.995,                0.93069,                0.33227,                  1.101,                0.90531,             0.00021325,             0.00021325,             0.00021325
                      7,                0.52546,                 0.8681,                 1.0722,                0.97807,                      1,                  0.995,                0.94442,                0.35006,                 1.0273,                 0.9313,             0.00023438,             0.00023438,             0.00023438
                      8,                0.40805,                0.75867,                0.93618,                0.94143,                      1,                0.99375,                0.95102,                0.33783,                  1.052,                0.92365,             0.00025056,             0.00025056,             0.00025056
                      9,                 0.3759,                0.81479,                 1.0044,                0.94319,                0.99974,                 0.9925,                0.96399,                0.31557,                 1.0655,                0.90941,             0.00026179,             0.00026179,             0.00026179
                     10,                0.42297,                 0.6753,                0.96125,                0.98468,                0.98952,                  0.995,                0.96109,                0.31943,                 1.0846,                 0.9117,             0.00026806,             0.00026806,             0.00026806
                     11,                0.34312,                 1.1734,                0.90718,                 0.9933,                      1,                  0.995,                0.96321,                0.33535,                 1.0745,                0.91396,             0.00026939,             0.00026939,             0.00026939
                     12,                0.35125,                 1.2411,                0.92372,                0.99593,                      1,                  0.995,                0.94365,                0.38021,                   1.06,                0.95504,             0.00026576,             0.00026576,             0.00026576
                     13,                0.39727,                 1.1716,                0.97033,                0.99407,                      1,                  0.995,                0.92441,                0.44336,                 1.1897,                 1.0302,             0.00025718,             0.00025718,             0.00025718
                     14,                0.36458,                 1.1669,                0.98606,                0.99744,                0.99921,                  0.995,                0.93384,                0.42088,                 1.2159,                0.98776,             0.00024366,             0.00024366,             0.00024366
                     15,                0.31027,                 1.1516,                0.90458,                0.99682,                      1,                  0.995,                0.97046,                 0.3108,                  1.131,                0.87247,             0.00022518,             0.00022518,             0.00022518
                     16,                0.26249,                  1.022,                0.89948,                0.99726,                      1,                  0.995,                0.96404,                0.29254,                 1.0988,                0.85882,             0.00020175,             0.00020175,             0.00020175
                     17,                0.34518,                 1.2033,                0.88936,                0.99367,                      1,                  0.995,                0.98158,                0.28438,                 1.0958,                0.85581,             0.00017337,             0.00017337,             0.00017337
                     18,                 0.2578,                 1.0121,                0.89324,                0.99309,                      1,                  0.995,                0.97576,                0.27863,                 1.0756,                0.85307,             0.00014004,             0.00014004,             0.00014004
                     19,                0.28976,                0.97658,                0.94108,                  0.994,                      1,                  0.995,                0.97983,                0.28243,                 1.0468,                0.85618,             0.00010175,             0.00010175,             0.00010175
                     20,                0.29588,                0.95831,                0.88568,                0.99542,                      1,                  0.995,                0.97521,                0.28031,                 1.0207,                0.85559,              5.852e-05,              5.852e-05,              5.852e-05
